Новый летописец|собр. Тверского музея № 65 (3142)|1751 г., 2о, 106 л.  Начинается с Феодора Иоанновича; доведен до смерти Петра I. Л. 103 перечень кораблей и событий (взятие городов за царствование Петра). Перечень событий законен 1710 г. (взятие Ревеля). На л. 106 (до половины обрезанном): "Преставися и||Отчет Тв. Музея за 1886 г. № 287. Сперанский М. Н. Описание рукописей Тверского музея. М., 1891. , № 65 (3142)
Новый летописец|РНБ, собр. А. С. Титова №  2563|XVII в., 2о, 168 л., полуустав. С оглавлением в 429 ст. Известия за 1592-1630 гг.|Книга, глаголемая новый летописец, степень государя царя Феодора Иоанновича и сперва немногия главы царства царя Иоанна Васильеича. |Титов А. А. Охранный каталог славяно-русских рукописей А. А. Титова. Вып. III. № 2563. С. 107.
Новый летописец|РГБ, собр. В. М. Ундольского № 773|XVIII в., 4о, 86 л., скоропись.||Викторов А.Е. Собрание славяно-русских рукописей В.М. Ундольского. М., 1870С. 23.
Новый летописец||XVIII в., 16+215 л., скоропись. Л. 1-16. Оглавление 464 глав. Л. 1-215. Самый текст летописца. Нач. В лето от создания мира 2244-е, во второе же лето по потопе праотец наш вторый родоначалник Ной праведный. Оканчивается 464-ою главою - о рождении царевны ||Описание рукописей князя Павла Петровича Вяземского. 1902. (ОЛДП. Издания. № 119). С. 76. 
Выборка событий из летописца|РНБ, собр. М. П. Погодина № 1596|Сборник из трех рукописей, 4о, 206 л., третья рукопись XVII в. л.  171. Из Летописца. Нач. Начало княжениа князей Руских. "В лето 6370 выгнаша словене варяг за море…" Последнее событие, бой на реке Ведроши, относится к 7008 году. Выборка событий сделана и||Бычков А. Ф. Описание славянских и русских рукописных сборников Императорской публичной библиотеки. Вып. 1. СПб., 1878. С. 298.
Записка некоторых Российских происшествий с 6370 (862) по 6988 (1480) год|РНБ, Q.I.221|конец XVII в., 435 л., полуустав.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825.  С. 366. № 214
Летописный отрывок, начинающийся 6370 (862) и оканчивающийся 6969 (1461) годом|РНБ, собр. Погодина № 1570|Сборник из двух рукописей, 4о, 247 л. Л. 235. Летописный отрывок, начинающийся 6370 (862) и оканчивающийся 6969 (1461) годом, известием о кончине новгородского архиепископа Евфимия, которая последовала не в этом, но в 6966 (1458) году (см. ПСРЛ. Т. 3. С. ||Бычков А. Ф. Описание славянских и русских рукописных сборников Императорской публичной библиотеки. Вып. 1. СПб., 1878. С. 49.
Метеорологические известия|РНБ, собр. М. П. Погодина № 1559|Сборник, заключающий 10 отрывков, 2о, 87 л. На л. 33. Четыре метеорологических известия, относящиеся к 6879 (1371), 6892 (1384), 6907 (1399) и 6938 (1430) годам||Бычков А. Ф. Описание славянских и русских рукописных сборников Императорской публичной библиотеки. Вып. 1. СПб., 1878. С. 81.
Краткая записка событий 1362-1700 годов||XVII и XVIII в., на 743 л., скоропись многих почерков.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825.  С. 373. № 220.
Выписка хронологическая из летописей о Москве с 1333 по 1674 год|ОИДР. № 223.|Сборник, XIX в., 4о, 836 л., полуустав.||Рузский Н. В. Сведения о рукописях, содержащих в себе хождение в святую землю русского игумена Даниила в начале XII века. М., 1891. С. 118.
Летописец выбором с 1326 г. по 1591 г.|РНБ, Q.XVII.30|конца XVII в. и начала XVIII в. на 387 л., скоропись разных почерков. Текст начинается с л. 243.|Летописец, написан выбором из старых Летописцов, что учинилось в Московском (государстве) и во всей Руской земли|Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825. № 112. С. 283.
Летописец выбором с 1326 г. по 1576 г.|РНБ, F.IV.253|Рукопись на 611 л. Текст начинается с л. 600.|Летописец, написан выбором старых лет Летописцов, что учинилось в Московском государстве и во всей Руской земле в нынешния последния времена |Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825. № 69. С. 647.
Выборка из летописей|РНБ, собр. М. П. Погодина № 1564|Сборник из нескольких рукописей XVI, XVII и XVIII в., 4о, 165 л. Текст начинается с л. 114. Выборка из летописей. Первое известие относится к 6771 (1263) году и содержит в себе рассказ об убиении литовского великого князя Миндовга, а последнее - к 7190 (1||Бычков А. Ф. Описание славянских и русских рукописных сборников Императорской публичной библиотеки. Вып. 1. СПб., 1878. С. 4.
Описание русских происшествий с 1241 по 1399 гг.|РНБ, F.IV.215|конец XVII в., 680 л., белорусский полуустав. Текст начинается на л. 208. Описание русских происшествий с 6749 (1241) по 6907 (1399) год.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825.  № 157. С. 85.
Летописец выбором с 1237 г. по 1682 г.|РГБ, Музейное собр. № 8257|Сборник, XVII в., 2о, 522 л. Начинается с 6745 (1237) года (убиение Феодора Рязанского), доведен до 7190-й (кончины царя Феодора Алексеевича)|Летописец, написан из выбору из старых летописцов, что учинилось в Московском государстве и во всей Руской земле|
Краткая записка некоторых Российских событий 1230-1404 гг.||XVI в., 158 л. Краткая записка некоторых Российских событий 6738 (1230) - 6912 (1404) гг.||Рузский Н. В. Сведения о рукописях, содержащих в себе хождение в святую землю русского игумена Даниила в начале XII века. М., 1891. С. 125.
Летописный отрывок за 1236-1240 годы без окончания|РНБ, Q.XVII.69|Рукопись, составленная из отдельных тетрадей, XVII в., 90 л.  Л. 49. Отрывок летописца, содержащий в себе 6744 (1236)-6748 (1240) годы. Без конца.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825.  С. 379. № 226.
Летописец с 1154 по 1678 гг.|РНБ, Q.XVII.152|Сборник, конец XVII века, 4о, 212 л., полуустав.  Текст летописца начинается с л. 208. Летописные ивестия с 6662 (1154) года по 7186 (1678) год, в котором говорится о разорении Чигирина турками.||Отчет Императорской Публичной библиотеки за 1878 г. С. 18.
Летописец выбором|Погод. 1952|Сборник из восьми рукописей, 4о, 152 л. Текст начинается с л 102.  Нач.: "Лета 6762. Принесен бысть чюдотворная икона пречистые Богородицы Владимерския образ из Царяграда". Под 6681-м годом ошибочно сказано, что Андрей Юрьевич Боголюбский убит от бояр сво|Летописец написан выбором из старых летописцев, что было в московском государстве и во всей Росиской земле|Бычков А. Ф. Описание славянских и русских рукописных сборников Императорской публичной библиотеки. Вып. 1. СПб., 1878. С. 330.
Описание некоторых российских происшествий с 1125 по 1534 гг.|РНБ, Q.IV.124|XVII в., скоропись разных почерков. Текст начинается с л. 343.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825.  С. 355. № 201.
Отрывок из летописи с 1015 по 1453 гг.|РНБ, собр. М. П. Погодина 1554|Сборник из 7 отрывков, 8о, 64 л. Текст отрывка начинается с л. 13, 6523 (1025) годом, известием о кончине великого князя Владимира, и оканчивающийся 6961 (1453), известием о кончине князя Димитрия Юрьевича; содержит в себе преимущественно известия, касающ||Бычков А. Ф. Описание славянских и русских рукописных сборников Императорской публичной библиотеки. Вып. 1. СПб., 1878. С. 92.
Летописец с 998 по 1661 год.|РНБ, Q.XVII.22|XVII  и XVIII в., 971 л., скоропись. Текст начинается с л. 56. |Из старых Летописцев, что учинилось в Московском государстве и во всей Русской земле|Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825.  С. 300. № 140
Летописец с 998 по 1547 гг. без окончания|РНБ, Q.XVII.22|XVII и XVIII в., 971 л., скоропись. Текст начинается на л. 756. Летописец, написан из старых Летописцов, что учинилося в Московском государстве и во всей Руской земли, с 6406 (998) по 7055 (1547) год. Конца не достает.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825.  С. 305. № 140.
Отрывок летописи с 990 по 1385 г.|РНБ, собр. М. П. Погодина № 1565|Сборник из 9 отрывков, 4о, 209 л. Текст начинается с л. 187. Выписано из летописной книги, в которое лето прииде благоверный великий князь Владимер Святославич Киевски в Залескую землю в Суздальскую, и постави град во свое имя Владимер и церковь соборную ||Бычков А. Ф. Описание славянских и русских рукописных сборников Императорской публичной библиотеки. Вып. 1. СПб., 1878. С. 122.
Краткие летописные извеcтия с 988 г. до 1659 г.|РНБ, собр. М. П. Погодина № 1606|Сборник из одиннадцати рукописей, 4о, 342 л. С л. 141 начинаются летописные краткие известия с 6496 г., крещения Владимира. Оканчиваются 7167 г., боем под Конотопом, произошедшим 20 июня. События с 7121 года написаны разными почерками: "7074-го стала опри||Бычков А. Ф. Описание славянских и русских рукописных сборников Императорской публичной библиотеки. Вып. 1. СПб., 1878. С. 344
Летописный отрывок с 988 по 1598 гг.|РНБ, собр. М. П. Погодина № 1570|Сборник из двух рукописей XVII в., в 4о., 247 л. Текст начинается с л. 243. Летописный отрывок, в котором первое известие относится к 6496 (988) году (крещение Русской земли великим князем Владимиром), а последнее - к 7107 (1598) году (вступление на прест||Бычков А. Ф. Описание славянских и русских рукописных сборников Императорской публичной библиотеки. Вып. 1. СПб., 1878. С. 49.
Отрывок краткого летописца с 986 по 1625 г.|РНБ, Q.XVII.74|Рукопись скорописная XVII в., 155 л., начала, конца и в середине нескольких листов не достает. Отрывок краткого Летописца с 6494 (986) по 7133 (1625) год. ||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825.  С. 488. № 345.
Краткая записка некоторых Российских происшествий с 988 по 1484 гг.|РНБ, Q.XVII.21|XVI и XVII в., 613 л., скоропись. Текст начинается с л. 8.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825.  С. 288. С. 121.
Сокращенный летописец Русский с 942 по 1708 гг.|РНБ, Q.XVII.75|XVIII в. 231 л., скоропись.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825.   С. 515. № 382.
Краткая записка некоторых российских событий с 878 по 1676 гг.|РНБ, Q.XVII.45|Начало XVIII в., 49 л. Краткая записка некоторых событий российских с 6386 (878) по 7184 (1676) год.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825.  № 372. С. 509. 
Выписки из летописи|РНБ, Q.IV.291|150 л., 4о, скоропись. Текст начинается с л. 16. Выписки из летописи, относящиеся к русской истории, от начала Русской земля до 7195 (1687) года. Л. 54: Летописец вкратце, с 7092-го года по 7128 (1619); л. 59: "Сказание вкратце о Цареграде откуу прежде им||Отчет Императорской публичной библиотеки за 1876 г. С. 89.
Перечень российских событий, с 6370 (862) по 7121 (1613) год|РНБ, Q.XVII.23|XVII в., 166 л., полуустав. Текст начинается с л. 29. ||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825.  № 531. С. 239. 
Летописный отрывок|РНБ, собр. М. П. Погодина № 1568|Сборник из нескольких рукописей XVII в., 4о, 160 л. Текст начинается с л. 143. Нач.: Бысть егда изнеможа Август, вселенней диктатор. Начинается с разделения Августом земель между своими родными и с поселения , в 6370 году, Рюрика в Новегороде, а кончается|Время же есть глаголати и о Руских самодержцах, откуду и како быша подобно же взыскати от корене и отрасль, внемлем и услышим|Бычков А. Ф. Описание славянских и русских рукописных сборников Императорской публичной библиотеки. Вып. 1. СПб., 1878. С. 72.
Летописец избранный вкратце|РНБ, собр. М. П. Погодина № 1604|Сборник из пятнадцати рукописей, 4о, 885 л. Текст начинается с л. 534.    Нач.: "В лето 6370 по прошению Гостамыслову прииде из Руские земи сииречь из Немец князью Рюрик, да с ним два брата его Трувор да Синеус да племяньник его Олег". Кончается перечисле|Летописец избранный вкратце. |Бычков А. Ф. Описание славянских и русских рукописных сборников Императорской публичной библиотеки. Вып. 1. СПб., 1878. С. 320.
Извлечением из хронографа по годам от Адама до византийского императора Константина (ум. в 1453 г.)|РНБ, собр. М. П. Погодина № 1565|Сборник из 9 отрывков, 4о, 209 л. Текст начинается с л. 2. Извлечение, расположенное по годам, из хронографа; начинается с Адама и кончается византийским императором Константином, умершим в 6961 году. За этим извлечением следуют русские происшествия: Зача|От летописца избрано вкратце о начале родословия от Адама, перваго дни, и от коего колена его подоша царие судия же и владелцы, и хто коков лет бысть мимо текущаго кола сего.  |Бычков А. Ф. Описание славянских и русских рукописных сборников Императорской публичной библиотеки. Вып. 1. СПб., 1878. С. 119.
История |РНБ, F.I.220|Начало XVIII в., 149 л., скоропись. Краткая выписка из Летописцев до 7000 (1492) года. Названа Историей.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825.  С. 155. № 239.
Летописец от Неронова царства до 1506 г.|РНБ, Q.XVII.67|Начало XVII в., 234 л., скоропись. Текст летописца начинается с л. 145.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825. С. 350. № 195.
Выписки из церковной и гражданской истории, греческой и российской|РГБ, собр. Иосифо-Волоколамского монастыря № 191 (583)|Сборник, XVI и XVII вв., 8о, 415 л. Текст расположен на л. 108-179.||Иосиф, иером. Опись рукописей перенесенных из библиотеки Иосифова монастыря в библиотеку Московской Духовной академии М., 1882. С. 237
Выписки из русских летпоисей о лицах и событиях от начала Русской земли до 7038 г.|собр. Антониево-Сийского монастырь № 222 (по Викторову)|Сборник, XVI-XVII в., 4о, около 800 л., полуустав и скоропись разных почерков.||Викторов А. Е. Описи рукописных собраний в книгохранилищах Северной России. Издание Археографической комиссии. СПб., 1890. С. 106
Летописец Руский от Великого князя Рюрика по степенем|РНБ, F.IV.253|Рукопись на 611 л. Текст Летописца начинается с л. 517, состоит из 152-х глав и доведен до 7099 (1591) г.|Летописец руской от великого князя Рюрика по степенем|Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825. С. 646. № 69.
Летописец до вступления на престол царя Михаила Феодоровича|РНБ, Q.XVII.66|XVII в., на 247 л., скоропись разных почерков.||
Летописец до 1609 г.|РНБ, Q.IV.139|Конец XVII в., 410 л., скоропись. Текст начинается с л. 63, доведен до 1609 г. В конце присоединено известие, относящееся к 6972 (1464) г.|Книга глаголемая Летописец великия земли Российския|Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825. С. 247. № 101.
Отрывок Российской истории от великого княя Иоанна Васильевича до 1613 года, без начала|РНБ, Q.IV.2|Рукопись на 246 л. Текст начинается с л. 80. Отрывок Российской Истории от великого князя Иоанна Василиевича до 1613 года; без начала.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825.   С. 674. № 55.
Краткая летопись от пришествия Рюрика до 1634 г.|РНБ, Q.XVII.65|XVII  в. на 497 л., скоропись разных почерков. Текст начинается с л. 337, с заголовка "О князех руских".||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825. С. 279. № 104.
Исторические выписки, оканчивающиеся взятием Азова Казаками в 7145 (1637) году|РНБ, F.XVII.17|XVII в., 483 л., скоропись. Текст начинается с л. 272.|От летописца вкратце о Велицей России и о благочестивых государех тоя земли|Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825. С. 120. № 198
Летописец до 1654 г.|РНБ, Q.XVII. 72|XVII в., 308 л., скоропись разных почерков. Текст начинается с л. 240.|Летописец, написан от Рожества Христова, о царех жидовских, и греческих, и руских, и что где и в котором граде и при котором царе и в котором году учинилося, и о святых его знамениях, явльшихся с небеси на землю Господем нашим Исусом Христом, наказуя нас |Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825.  № 282. С. 444.
Летописец от сотворения мира до 1687 г.||XVI и XVII в., 613 л., скоропись разных почерков.|Лета от сотворения миру, от летописца вократце избраныи з полустава Острозскаго и тежъ з розных мест виписаное|Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825. С. 288. № 121.
Летописец от Адама до 1697 г.|РНБ, Q.XVII.78|начало XVIII в., 285 л., скоропись. Текст начинается с л. 241. Летописец от Адама, с приобщением Российских происшествий до 7205 (1697) года.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825. С. 554. № 425.
Выписки из летописца до 1698 г.|РГБ, собр. И. Д. Беляева № 65 (1574)|Сборник новых списков, 1о, 352 л. Текст начинается с л. 41. Выписки из какого-то летописца или хронографа о событиях, с восшествия на престол ц. Михаила Феодоровича по 1698 г., главы 115-130. Сл. Летоп. О многих мятежах. СПб., 1771, 300, и Никон. Летоп., ||Викторов А.Е. Собрание рукописей И.Д. Беляева. М., 1881. С. 64.
Разные русские происшествия конца XVII в.|РНБ, F.XVII.16|Рукопись скорописная XVII в., на 687 л.|С л. 576|Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825. С. 95. № 171.
Летописец о царствующем граде Москве до 1730 г.||начало XVIII в., на 83 л., скоропись. Текст начинается с л. 62.|Летописец о царствующем граде Москве и о содержании в нем скипетра Всероссийского, до 1730 года|Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825. С. 557. № 432.
[Отрывок хронографа]  от царя Ивана Васильевича до Василия Шуйского|собр. ОИДР № 223.|XIX в., 4о, 836 л., полуустав. В состав входят следующие главы Хронографа: Л. 392. О российской державе царя государя и великого князя Ивана Васильвича всея Росии. Л. 406. О царствии Царя Феодора Ивановича. Л. 443. О царствовании Бориса Годунова. Л. 446 о||Рузский Н. В. Сведения о рукописях, содержащих в себе хождение в святую землю русского игумена Даниила в начале XII века. М., 1891. С. 118.
Два отрывка из русской истории|РГБ, собр. Иосифо-Волоколамского монастыря № 235 (661)|XVI в., 12о, 466 л. На л. 364-366. помещены два отрывка из Русской истории||Иосиф, иером. Опись рукописей перенесенных из библиотеки Иосифова монастыря в библиотеку Московской Духовной академии М., 1882. С. 315.
Летописец древлеписьменный|Собрание м. Макария в Киеве № 105 (Ак., 144)|Сборник, XIX в., 8о, 273 л. Текст помещен на л. 43-62. Нач.: От начала сета до потопа лет 2246. Здесь, между прочим, о крещеии царя Алексея Михайловича в 7138 (1630) году. Родословные таблицы русских князей, о расстриге, о кончине патриархов Гермогена, Фи|Из летописца древлеписменнаго|Петров Н. И. Описание рукописных собраний, находящихся в городе Киеве. Вып. 1: Собрание рукописей московского митрополита Макария (Булгакова), Мелецкого монастыря на Волыни, Киево-Браского монастыря и Киевской духовной семинарии. М., 1891.
Летописные отрывки|РНБ, Q.XVII.158|XVIII в., 4о, 56 л., скоропись. Л. 45 об. Летописные отрывки:о княжении киевском под лютем игом татарским и о князех киевских отчасти; о преселении митрополита киевскаго в Москву; о взятии столнаго росискаго града Киева от литовскаго князя Гедимина и о пр||Отчет Императорской публичной библиотеки за 1880 г. С. 47.
Извлечения и русских летописей и статьи о литовских князьях|Архангельская духовная семинария № 156 (у Викторова)|Исторический сборник, XVII в., 2о, 688 л., скоропись. Во 2-й части сборинка - преимущественно извлечения из русских летописей и несколько статей о литовских князьях. ||Викторов А. Е. Описи рукописных собраний в книгохранилищах Северной России. Издание Археографической комиссии. СПб., 1890. С. 34.
мелкие отрывки из Российской истории|РНБ, Q.XVII.18|XVII в., 539 л., скоропись разных почерков.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825. С. 325. № 175.
Летописные известия|РНБ, Q.XVII.150|Сборник, XVII в., 4о, 675 л., скоропись. Рукопись принадлежала стольнику Ивану Павловичу Селунскому. Летописные известия начинаются с л. 675.||Отчет Императорской публичной библиотеки за 1878 г. С. 16.
Отрывок из Российской истории|РНБ, O.I.96|XVII в., 222 л., полуустав и скоропись.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825. С. 609.
Летописные заметки|РГБ, собр. В. М. Ундольского № 611|XVII в., 4о, 70 л. Текст начинается на л. 29.||Викторов А.Е. Собрание славяно-русских рукописей В.М. Ундольского. М., 1870. С. 45.
Летописные заметки|РГБ, собр. В. М. Ундольского № 614|XVII в., 4о, 254 л. Текст начинается на л. 118.||Викторов А.Е. Собрание славяно-русских рукописей В.М. Ундольского. М., 1870. С. 45.
Летописец славено-российский|собр. Тверского Музея № 8(3127)|Выписки из разных исторических сочинений, конец XVIII в., 4о, 96 л. л.8. Из летописца древнего славено-российского. Помета:с рукописного.||Сперанский М. Н. Описание рукописей Тверского музея. М., 1891. С. 5.
Выписки из летописцев|Архангельская духовная семинария №154 (1400) (у Викторова) |Исторический сборник, начало XVII в., 4о, около 400 л., полуустав.||Викторов А. Е. Описи рукописных собраний в книгохранилищах Северной России. Издание Археографической комиссии. СПб., 1890. С. 34.
Летописные отрывки|собр. Григоровича № 29 (55)|XVIII в., на простой бумаге, 27 л., 4о, из Вятки. л. 1. О русском летописце вкратце. Начинается выписками из хронографа. Л. 13. Летописец руский от куду нача руское княжение. Нач. Приидоша ру. Словяне и кривича за море к варягом и реша: земля наша добра о|О русском летописце вкратце|Викторов А. Е. Собрание рукописей В. И. Григоровича. М., 1879. С. 96.
Отрывки из Летописца, обыкновенно помещаемого перед родословными книгами|РНБ, собр. М. П. Погодина № 1607|Сборник XVII в., 4о, 52 л. л. 1. Отрывки из Летописца, обыкновенно помещаемого перед Родословными книгами. См. в 10-й книге Временника Моск. Общ. истории и древн., материалы. С. 4-9.||Бычков А. Ф. Описание славянских и русских рукописных сборников Императорской публичной библиотеки. Вып. 1. СПб., 1878. С. 335.
Отрывки из древней истории|РНБ, F.I.183|Хронограф Дорофея Монемвасийского, конец XVII в., 2о. л. 308-315. Отрывки из древней истории.||Калайдович К., Строев П. Обстоятельное описание славяно-российских рукописей, хранящихся в библиотеке тайного советника, сенатора, двора его императорского величества действительного каммергера и кавалера графа Ф. А. Толстова. М., 1825. С. 74. № 741.
